State,Park,RV Sites,Shortest,Longest,Average,Median,Under 25 ft,25-34,35-44,45-59,60+,With Electric,Full Hookup,Pull-Through
Alaska,Chugach State Park,1,20,20,20,20,1,0,0,0,0,0,0,1
Alaska,Eagle Beach State Recreation Area,1,24,24,24,24,1,0,0,0,0,0,0,0
Alaska,Finger Lake State Recreation Site,20,19,54,36,35,4,5,5,6,0,0,0,0
Alaska,Fort Abercrombie State Historic Park,1,20,20,20,20,1,0,0,0,0,0,0,0
Alaska,Harding Lake State Recreation Area,1,35,35,35,35,0,0,1,0,0,0,0,1
Alaska,Johnson Lake State Recreation Area,19,35,35,35,35,0,0,19,0,0,0,0,0
Alaska,K'esugi Ken Campground,28,40,110,68,63,0,0,1,8,19,27,0,6
Alaska,Nancy Lake State Recreation Area,1,40,40,40,40,0,0,1,0,0,0,0,1
Arizona,Alamo Lake,192,15,90,58,58,4,13,20,63,92,109,19,0
Arizona,Buckskin Mountain,84,30,86,55,55,0,3,22,29,30,68,17,0
Arizona,Catalina,152,25,155,66,69,0,19,0,14,119,122,0,0
Arizona,Cattail Cove,138,28,70,43,38,0,4,92,28,14,138,80,0
Arizona,Dead Horse Ranch,149,24,150,57,60,1,6,22,44,76,110,0,0
Arizona,Fool Hollow Lake,121,24,129,56,54,2,4,22,51,42,70,55,0
Arizona,Homolovi,53,50,150,67,50,0,0,0,44,9,43,3,0
Arizona,Kartchner Caverns,62,24,78,53,54,1,5,11,26,19,62,4,0
Arizona,Lake Havasu,54,48,125,59,55,0,0,0,37,17,54,2,0
Arizona,Lost Dutchman,163,30,172,70,66,0,10,35,21,97,70,2,0
Arizona,Lyman Lake,56,40,100,62,60,0,0,1,22,33,38,13,0
Arizona,Patagonia Lake,107,22,55,38,40,6,25,61,15,0,105,0,0
Arizona,Picacho Peak,85,53,109,72,62,0,0,0,26,59,85,5,0
Arizona,River Island,37,24,57,47,54,8,0,0,29,0,37,3,0
Arizona,Roper Lake,64,15,70,48,48,4,1,9,40,10,45,5,0
Arkansas,Camping at Bull Shoals,87,20,75,55,56,1,2,2,56,26,87,61,2
Arkansas,Camping at Cane Creek,29,40,107,74,70,0,0,1,4,24,29,0,0
Arkansas,Camping at Crowleys Ridge,16,30,60,42,40,0,2,9,4,1,16,0,0
Arkansas,Camping at Daisy,82,24,70,41,38,1,16,43,17,5,81,0,5
Arkansas,Camping at Devils Den,45,60,60,60,60,0,0,0,0,45,45,45,0
Arkansas,Camping at Jacksonport,20,40,45,45,45,0,0,1,19,0,20,0,0
Arkansas,Camping at Lake Catherine,68,20,50,47,50,1,4,6,57,0,68,43,0
Arkansas,Camping at Lake Charles,55,20,100,49,45,1,3,14,25,12,53,24,2
Arkansas,Camping at Lake Chicot,42,45,50,49,50,0,0,0,42,0,42,42,14
Arkansas,Camping at Lake Dardanelle,74,26,93,52,48,0,5,14,38,17,74,29,4
Arkansas,Camping at Lake Fort Smith,30,20,60,42,45,1,8,4,15,2,30,20,3
Arkansas,Camping at Lake Frierson,5,35,47,41,41,0,0,4,1,0,5,0,0
Arkansas,Camping at Lake Ouachita,19,16,50,20,16,17,0,0,2,0,2,2,0
Arkansas,Camping at Lake Poinsett,26,35,65,42,40,0,0,16,9,1,26,0,0
Arkansas,Camping at Millwood,14,53,69,63,64,0,0,0,3,11,14,14,1
Arkansas,Camping at Mississippi River,39,22,70,45,50,14,0,1,10,14,25,25,5
Arkansas,Camping at Mount Magazine,18,47,75,60,58,0,0,0,10,8,18,18,0
Arkansas,Camping at Mount Nebo,24,20,24,23,24,24,0,0,0,0,24,0,0
Arkansas,Camping at Petit Jean,118,25,101,53,49,0,21,26,22,49,118,55,28
Arkansas,Camping at Village Creek,65,29,113,55,51,0,3,14,24,24,65,24,6
Arkansas,Camping at White Oak Lake,41,30,65,45,45,0,2,13,22,4,41,0,5
Arkansas,Camping at Withrow Springs,29,40,65,50,50,0,0,6,19,4,29,29,2
Arkansas,Camping at Woolly Hollow,30,18,60,50,50,1,1,2,20,6,30,30,2
California,Anza-Borrego Desert SP,123,18,35,28,25,41,29,53,0,0,47,47,0
California,Benbow SRA,49,30,30,30,30,0,49,0,0,0,3,3,0
California,Big Basin Redwoods SP,1,24,24,24,24,1,0,0,0,0,0,0,0
California,Bolsa Chica SB,56,30,40,35,35,0,28,28,0,0,56,0,0
California,Bothe-Napa Valley SP,31,24,31,24,24,30,1,0,0,0,0,0,0
California,Brannan Island SRA,104,32,36,36,36,0,4,100,0,0,13,1,0
California,Butano SP,17,12,24,16,12,17,0,0,0,0,0,0,0
