State,Parks,RV Sites,Average (ft),Median (ft),Longest (ft),Under 25 ft,25-34,35-44,45-59,60+,With Electric,Full Hookup,Pull-Through
Alaska,8,72,48,40,110,7,5,27,14,19,27,0,9
Arizona,15,1517,57,55,172,26,90,295,489,617,1156,208,0
Arkansas,23,976,49,50,113,61,67,176,419,253,942,461,79
California,96,7679,32,31,75,1441,3285,2336,581,36,1326,477,0
Colorado,26,3129,48,42,190,85,431,1082,761,770,2318,609,4
Connecticut,14,1062,33,35,35,59,187,816,0,0,182,14,44
Delaware,5,673,37,40,128,123,84,314,141,11,591,288,150
Florida,57,2892,39,40,125,271,714,941,738,228,0,0,0
Georgia,38,1763,44,40,180,133,254,531,650,195,1763,463,685
Illinois,57,7067,41,40,80,494,521,3767,2029,256,5914,800,0
Indiana,32,7106,46,45,199,240,826,1956,3061,1023,6171,317,299
Iowa,53,3222,51,50,155,182,428,563,1037,1012,2610,490,702
Kentucky,30,2201,45,43,120,40,291,830,845,195,2120,367,162
Louisiana,20,1205,59,55,165,6,40,68,637,454,0,0,0
Maryland,23,1793,33,30,76,366,775,279,308,65,510,51,60
Massachusetts,25,1846,32,35,50,266,555,1024,1,0,1832,0,88
Michigan,78,11688,47,45,200,194,1217,3527,4850,1900,10376,407,434
Minnesota,63,3950,48,47,157,73,543,991,1620,723,1957,182,0
Missouri,41,3598,55,55,173,55,73,317,2225,928,2773,537,0
Montana,19,530,37,35,95,71,174,161,92,32,246,0,64
Nebraska,33,2045,51,50,110,7,23,401,1168,446,1930,152,70
Nevada,17,573,50,45,145,35,65,142,142,189,141,46,0
New Hampshire,20,676,30,27,60,252,158,207,40,19,124,85,58
New Mexico,31,1591,41,40,181,134,430,512,385,130,1027,40,97
New York,103,10876,32,30,65,2881,4127,2689,1155,24,3538,196,325
North Carolina,21,2499,55,54,146,102,271,370,730,1026,1286,83,94
North Dakota,14,1216,59,50,199,77,76,181,422,460,0,0,0
Ohio,52,7680,43,43,170,261,811,3087,3131,390,6778,1176,0
Oklahoma,32,2846,48,50,170,41,475,608,1189,533,2804,584,728
Oregon,40,3628,45,45,135,149,430,1127,1562,360,3626,1399,252
Pennsylvania,66,6085,35,35,134,1329,1512,1712,1282,250,3292,614,379
Rhode Island,5,875,43,40,119,112,182,200,254,127,147,105,168
South Carolina,33,2314,38,37,91,203,699,739,526,147,2290,440,313
South Dakota,54,4158,61,64,147,127,150,172,1099,2610,3638,0,136
Tennessee,34,2286,48,47,170,170,337,437,788,554,2062,478,213
Texas,76,4658,49,50,161,471,598,530,2176,883,4503,679,602
Utah,32,1663,53,45,200,101,242,414,308,598,1060,408,568
Vermont,30,1028,27,28,45,337,537,150,4,0,0,0,15
Virginia,24,1379,40,38,183,267,284,351,286,191,1195,115,0
Washington,58,4082,43,42,147,571,716,863,1314,618,1637,875,710
Wisconsin,44,5229,50,50,200,153,673,1048,1878,1477,1647,0,172
Wyoming,9,1361,60,50,200,42,131,289,303,596,255,2,413
