State,Campgrounds,RV Sites,Average (ft),Median (ft),Longest (ft),Under 25 ft,25-34,35-44,45-59,60+,With Electric,Full Hookup,Pull-Through
Alabama,17,1160,60,55,150,6,42,369,247,496,1154,158,107
Alaska,16,474,45,40,145,28,97,171,107,71,19,1,59
Arizona,49,2509,38,35,136,289,906,737,393,184,67,21,889
Arkansas,96,4877,47,45,124,177,895,1227,1524,1054,4488,75,256
California,273,10205,33,32,150,2317,3124,3365,1142,257,346,95,772
Colorado,151,4335,36,34,130,551,1638,1246,626,274,485,4,663
Connecticut,1,22,32,30,40,0,11,11,0,0,11,0,0
Florida,16,629,35,36,60,68,148,324,84,5,362,94,62
Georgia,38,1946,40,40,120,137,488,673,457,191,1778,107,384
Idaho,84,1691,42,40,130,129,274,576,540,172,223,50,207
Illinois,16,1548,64,65,150,2,75,181,337,953,1541,363,64
Indiana,1,2,50,50,50,0,0,0,2,0,0,0,0
Iowa,20,1714,57,56,130,5,38,112,866,693,1705,33,54
Kansas,38,2127,54,55,148,26,85,305,832,879,1672,149,307
Kentucky,31,2206,52,50,125,95,396,369,529,817,1629,45,170
Louisiana,3,88,66,68,114,0,21,0,8,59,82,0,1
Maine,7,358,36,35,102,48,55,190,50,15,242,8,36
Maryland,3,232,37,30,66,56,67,42,36,31,0,0,25
Michigan,58,1146,40,40,99,152,252,297,272,173,105,0,99
Minnesota,34,992,51,45,138,35,135,149,389,284,511,20,34
Mississippi,26,1406,55,54,141,14,122,294,446,530,1311,593,104
Missouri,56,3378,48,45,120,138,565,807,999,869,2513,313,191
Montana,58,1912,34,30,120,538,566,408,278,122,83,0,849
Nebraska,3,231,57,60,120,0,14,32,60,125,170,32,22
Nevada,16,503,36,38,65,62,150,193,94,4,102,86,39
New Hampshire,11,273,29,30,50,68,137,41,27,0,53,0,3
New Mexico,16,465,36,37,80,94,82,164,109,16,114,0,60
New York,1,6,50,50,50,0,0,0,6,0,0,0,0
North Carolina,33,1951,39,37,148,335,474,586,384,172,364,17,266
North Dakota,9,390,50,52,93,11,48,58,164,109,267,0,66
Ohio,4,365,48,49,90,2,24,69,234,36,169,4,11
Oklahoma,70,3720,51,50,146,124,388,830,1033,1345,3308,76,256
Oregon,189,4513,38,35,140,690,1257,1562,681,323,125,17,702
Pennsylvania,14,1255,48,50,140,37,106,202,740,170,834,256,40
South Carolina,5,134,35,35,60,8,50,64,11,1,112,0,53
South Dakota,7,332,51,51,125,34,34,48,101,115,206,0,46
Tennessee,26,1722,45,40,146,179,417,357,370,399,1245,96,160
Texas,76,3535,56,55,150,140,164,422,1499,1310,3229,284,293
Utah,186,4794,38,35,130,596,1420,1354,873,551,213,23,602
Vermont,5,164,31,40,40,61,15,88,0,0,23,0,2
Virginia,23,1534,34,33,132,236,552,524,205,17,470,2,266
Washington,104,3426,35,32,150,759,1133,909,452,173,216,25,528
West Virginia,16,1144,45,45,118,41,249,211,486,157,793,165,23
Wisconsin,37,1029,41,40,99,29,206,457,246,91,259,0,21
Wyoming,50,1358,39,35,145,179,392,352,301,134,203,93,182
