State,Agency,Campground,RIDB Facility ID,Max Length (ft),Hookups,Amps,Entry,Sites
AK,FS,Auk Village Campground,251356,14,N,0,B,1
AK,FS,Auk Village Campground,251356,18,N,0,B,1
AK,FS,Auk Village Campground,251356,20,N,0,B,2
AK,FS,Auk Village Campground,251356,21,N,0,B,1
AK,FS,Auk Village Campground,251356,27,N,0,B,3
AK,FS,Auk Village Campground,251356,30,N,0,B,1
AK,FS,Auk Village Campground,251356,32,N,0,B,1
AK,FS,Auk Village Campground,251356,35,N,0,B,1
AK,FS,Cooper Creek South,232353,25,N,0,B,1
AK,FS,Cooper Creek South,232353,30,N,0,B,1
AK,FS,Cooper Creek South,232353,35,N,0,B,7
AK,FS,Cooper Creek South,232353,40,N,0,B,6
AK,FS,Cooper Creek South,232353,45,N,0,B,5
AK,FS,Cooper Creek South,232353,45,N,0,P,1
AK,FS,Eagles Nest Campground,232360,40,N,0,B,6
AK,FS,Eagles Nest Campground,232360,99,N,0,B,4
AK,FS,Granite Creek,234112,29,N,0,B,1
AK,FS,Granite Creek,234112,32,N,0,B,2
AK,FS,Granite Creek,234112,35,N,0,B,2
AK,FS,Granite Creek,234112,37,N,0,B,1
AK,FS,Granite Creek,234112,38,N,0,B,1
AK,FS,Granite Creek,234112,39,N,0,B,2
AK,FS,Granite Creek,234112,41,N,0,B,1
AK,FS,Granite Creek,234112,42,N,0,B,1
AK,FS,Granite Creek,234112,44,N,0,B,3
AK,FS,Granite Creek,234112,46,N,0,B,1
AK,FS,Granite Creek,234112,48,N,0,B,1
AK,FS,Granite Creek,234112,52,N,0,B,1
AK,FS,Granite Creek,234112,53,N,0,B,1
AK,FS,Granite Creek,234112,54,N,0,B,1
AK,FS,Harris River Campground,233974,32,N,0,B,1
AK,FS,Harris River Campground,233974,40,N,0,B,1
AK,FS,Harris River Campground,233974,45,N,0,B,1
AK,FS,Harris River Campground,233974,50,N,0,B,1
AK,FS,Harris River Campground,233974,55,N,0,B,1
AK,FS,Harris River Campground,233974,60,N,0,B,1
AK,FS,Harris River Campground,233974,74,N,0,B,1
AK,FS,Harris River Campground,233974,89,N,0,B,1
AK,FS,Last Chance Campground,232330,20,N,0,B,1
AK,FS,Last Chance Campground,232330,25,N,0,B,2
AK,FS,Last Chance Campground,232330,30,N,0,B,9
AK,FS,Last Chance Campground,232330,35,N,0,B,1
AK,FS,Last Chance Campground,232330,40,N,0,B,4
AK,FS,Last Chance Campground,232330,45,N,0,B,1
AK,FS,Mendenhall Campground,234504,15,N,0,B,1
AK,FS,Mendenhall Campground,234504,16,N,0,B,1
AK,FS,Mendenhall Campground,234504,17,N,0,B,1
AK,FS,Mendenhall Campground,234504,18,N,0,B,1
AK,FS,Mendenhall Campground,234504,20,N,0,B,7
AK,FS,Mendenhall Campground,234504,25,N,0,B,1
AK,FS,Mendenhall Campground,234504,28,N,0,B,1
AK,FS,Mendenhall Campground,234504,30,N,0,B,4
AK,FS,Mendenhall Campground,234504,35,N,0,B,24
AK,FS,Mendenhall Campground,234504,35,WE,50,B,1
AK,FS,Mendenhall Campground,234504,35,E,30,B,1
AK,FS,Mendenhall Campground,234504,40,N,0,B,1
AK,FS,Mendenhall Campground,234504,40,E,50,B,1
AK,FS,Mendenhall Campground,234504,40,WE,50,B,5
AK,FS,Mendenhall Campground,234504,40,E,0,B,1
AK,FS,Mendenhall Campground,234504,50,WE,50,B,1
AK,FS,Mendenhall Campground,234504,50,E,50,B,3
AK,FS,Mendenhall Campground,234504,50,WE,50,P,1
AK,FS,Mendenhall Campground,234504,50,E,50,P,3
AK,FS,Mendenhall Campground,234504,50,F,50,P,1
AK,FS,Mendenhall Campground,234504,60,E,0,B,1
AK,FS,Porcupine (Ak),234110,20,N,0,B,1
AK,FS,Porcupine (Ak),234110,24,N,0,B,1
AK,FS,Porcupine (Ak),234110,25,N,0,B,1
AK,FS,Porcupine (Ak),234110,26,N,0,B,2
