RIDB Facility ID,Nightly Cost,Max Consecutive Nights
123340,$9,
202063,$10-$20,
231832,$10-$34,
231833,$10,
231834,$10,
231848,$20,
231886,$10,
231929,$9-$193,
231930,$9-$241,
231931,$9-$413,
231932,$9-$413,
231933,$10-$275,
231935,$9-$256,
231936,$10-$31,
231938,$9-$159,
231939,$9-$62,
231940,$9-$118,
231941,$10-$31,
231943,$9-$60,
231944,$9-$86,
231945,$9-$62,
231946,$9-$292,
231954,$3-$9,
231961,$10,
231979,$5,
231980,$5,
231981,$5,
231997,$16,
231998,$23,
232006,$7-$18,
232009,$8-$100,
232010,$10,
232013,$3-$353,
232017,$10,
232024,$9-$246,
232025,$5-$57,
232027,$8-$50,
232029,$5-$29,
232044,$10,
232049,$3-$9,
232056,$8-$100,
232061,$3-$9,
232064,$8,
232067,$10,
232070,$3-$9,
232071,$10-$92,
232073,$10,
232079,$6,
232083,$3-$9,
232084,$9-$325,
232089,$9-$244,
232094,$8,
232095,$8-$36,
232102,$9-$193,
232103,$9-$371,
232104,$5-$56,
232105,$5-$117,
232108,$9-$118,
232109,$9-$244,
232114,$8-$50,
232115,$9-$60,
232119,$6,
232125,$3-$9,
232129,$10-$36,
232130,$10-$36,
232131,$9,
232138,$10,
232149,$16,
232188,$6-$395,
232189,$8-$22,
232225,$9-$305,
232228,$9-$305,
232229,$9-$213,
232230,$9-$401,
232231,$9-$57,
232233,$9-$305,
232234,$10,
232235,$10,
232255,$5-$80,
232256,$5-$80,
232267,$36,
232284,$95-$150,
232294,$10,
232310,$5,
232312,$5,
232319,$4,
232325,$50-$100,
232328,$9-$62,
232331,$75,
232338,$29-$62,
232346,$10,
232347,$10,
232356,$8,
232363,$10,
232366,$3-$9,
232367,$6,
232385,$10,
232387,$10,
232389,$5-$15,
232390,$9-$118,
232431,$5,
232432,$15-$75,
232433,$15-$30,
232445,$50-$130,
232458,$25-$250,
232459,$15-$75,
232460,$10-$80,
232461,$16-$32,
232462,$35-$70,
232463,$35-$55,
232479,$10,
232486,$10,
232487,$10,
232488,$10,
232490,$6,
232544,$10,
232580,$28,
232602,$18-$22,
232607,$14-$40,
232646,$14-$16,
232652,$25,
232665,$22-$64,
232730,$28-$32,
232737,$28-$30,
232753,$10,
232758,$10,
232760,$10,
232761,$10,
232762,$10,
232770,$10,
232771,$10,
232772,$10,
232773,$10,
232774,$10,
232775,$10,
232791,$5,
232799,$8,
232800,$8,
232821,$30-$64,
232852,$8,
232853,$8,
232855,$8,
232857,$8,
232860,$8,
232861,$8,
232862,$8,
232864,$8,
232883,$22-$44,
232887,$24-$72,
232895,$8,
232903,$5-$15,
232904,$5-$15,
232917,$26-$125,
233103,$8,
233115,$10,
233119,$20-$50,
233136,$10,
233154,$10,
233187,$35,
233218,$5-$12,
233228,$9-$69,
233236,$10,
233238,$10,
233283,$5-$40,
233284,$10,
233312,$3-$54,
233345,$10,
233346,$10,
233347,$10,
233361,$5-$81,
233375,$5-$80,
233392,$15-$30,
233400,$5-$25,
233418,$20,
233443,$5,
233460,$20,
233462,$20,
233492,$20,
233493,$35-$50,
233500,$10,
233507,$20,
233523,$0-$100,
233529,$10,
233564,$10,
233634,$20-$24,
233644,$20-$25,
233652,$40-$100,
233657,$20,
233660,$10,
233669,$20-$24,
233684,$20,
233688,$28,
233689,$16-$28,
233690,$28,
233692,$5-$40,
233695,$20,
233713,$8,
233714,$55-$72,
233730,$9-$92,
233767,$5-$25,
233771,$10,
233789,$9-$260,
233790,$26-$28,
233810,$17-$34,
233811,$20-$40,
233826,$65-$130,
233834,$35,
233835,$10,
233847,$10-$30,
233848,$16,
233850,$16,
233867,$9-$82,
233869,$9-$353,
233870,$10,
233871,$10,
233873,$9-$34,
233876,$5-$18,
233877,$8,
233878,$9,
233915,$9-$62,
233918,$9,
233925,$9,
233926,$10,
233977,$57-$115,
234004,$10-$30,
234016,$11,
234017,$11,
234018,$8,
234019,$8,
234020,$11,
234023,$8,
234029,$15-$30,
234052,$6,
234053,$6,
234061,$5-$60,
234062,$5-$60,
234064,$5-$60,
234076,$3-$36,
234086,$8,
234096,$5,
234097,$5,
234098,$5,
234100,$5,
234105,$8,
234106,$10,
234141,$20,
234221,$9,
234228,$40,
234277,$10,
234346,$5-$50,
234362,$5,
234472,$5-$350,
234474,$5,
234480,$5-$350,
234484,$5-$300,
234486,$5-$350,
234488,$5,
234513,$10-$22,
234557,$8-$37,
234590,$26-$50,
234628,$14,
234650,$5-$12,
234676,$10,
234685,$25,
234703,$2,
234709,$8,
234718,$2-$50,
234752,$10-$60,
234762,$5,
234765,$8,
234778,$22,
234789,$5,
240242,$10-$20,
245988,$5-$25,
246856,$25,
246878,$12-$24,
247219,$10-$26,
247322,$9-$27,
247366,$5-$24,
247571,$25,
247602,$25,
247603,$25,
249979,$16-$32,
249989,$8-$40,
250021,$10,
250028,$9,
250031,$7-$100,
250035,$5,
250042,$9,
250046,$9,
250877,$20-$89,
251351,$5,
251353,$14,
251357,$5-$15,
251364,$5-$15,
251471,$5-$10,
251535,$20,
251547,$5-$30,
251548,$5,
251833,$20-$70,
251883,$5,
251885,$5-$10,
251886,$5,
251887,$5-$10,
251894,$5,
251895,$5,
251906,$2-$50,
251907,$5,
253917,$10-$32,
254080,$10,
255205,$5-$40,
256892,$15,
256893,$12-$65,
258617,$9-$39,
258825,$18,
258851,$60,
258852,$60,
258887,$25,
259242,$25-$250,
259304,$20,
259309,$20,
259310,$20,
260552,$35,
261696,$25,
261780,$8-$40,
261804,$5-$12,
261822,$25-$140,
262763,$5-$50,
262766,$5-$15,
262767,$5-$15,
270816,$25-$50,
272276,$25-$50,
273311,$5,
273379,$10,
273833,$20-$40,
273836,$20-$40,
273838,$20-$40,
273847,$10,
273848,$10,
274315,$20,
274413,$8-$20,
274414,$8-$40,
274908,$10-$60,
274993,$10-$60,
275027,$10-$60,
275028,$10-$60,
275029,$10-$60,
275082,$10-$60,
275091,$10-$60,
275092,$10-$60,
10005349,$5-$100,
10038980,$10,
10040524,$25,
10040993,$20,
10041304,$10,
10044761,$10-$32,
10044765,$10-$32,
10046288,$20,
10046989,$5-$24,
10046994,$5-$99,
10047013,$9-$62,
10047031,$5-$26,
10047057,$5-$20,
10047070,$5-$22,
10047884,$5-$22,
10047895,$5-$24,
10047905,$5-$100,
10047913,$10-$76,
10047958,$9-$27,
10047969,$9-$31,
10047995,$9-$62,
10048028,$10-$47,
10048053,$9-$27,
10048073,$9-$27,
10048096,$9-$57,
10048149,$10-$83,
10048160,$9-$31,
10048170,$9-$29,
10048229,$9-$62,
10048257,$9-$24,
10048873,$9-$62,
10048891,$5-$22,
10048898,$9-$24,
10048953,$9-$27,
10049551,$9-$27,
10052170,$12-$15,
10057827,$15,
10060225,$20-$24,
10060948,$14,
10064643,$5-$60,
10064687,$5-$60,
10064730,$5-$60,
10064768,$5-$60,
10068459,$25,
10077451,$1-$8,
10083567,$36,
10086109,$2-$8,
10107638,$5-$20,
10107666,$20-$40,
10124445,$10-$32,
10124502,$10-$32,
10138237,$25,
10158475,$10-$20,
10158638,$20-$40,
10163100,$10,
10165606,$5,
10168531,$2-$15,
10169589,$20-$100,
10180083,$5-$50,
10191050,$5-$15,
10207636,$10,
10207879,$20,
10214609,$24,
10216489,$20,
10216501,$20,
10227380,$5-$20,
10227416,$8-$20,
10274252,$20-$65,
10285377,$5-$20,
10299335,$20-$40,
10299342,$14,
10303151,$10,
10304527,$20,
10306495,$22-$27,
10306513,$22-$27,
10306533,$20-$25,
10306537,$22-$27,
10309337,$8-$18,
10323767,$5-$30,
10341416,$20-$50,
10357105,$35,
10362409,$20,
10362485,$20,
10377487,$5,
10377492,$5,
10377502,$5,
10377515,$5,
10377523,$5,
10377538,$5,
10377543,$5,
10377551,$5,
10377563,$5,
10377584,$5,
10377594,$5,
10377600,$5,
10377606,$5,
10377611,$5,
10377616,$5,
10382332,$2-$40,
10404032,$28,
10404059,$28,
