RIDB Facility ID,Check-in,Check-out
16353,2:00 PM,11:00 AM
119090,3:00 PM,2:00 PM
119140,3:00 PM,2:00 PM
119190,3:00 PM,2:00 PM
119240,3:00 PM,2:00 PM
123340,2:00 PM,2:00 PM
202063,3:00 PM,2:00 PM
231831,2:00 PM,12:00 PM
231832,2:00 PM,2:00 PM
231833,2:00 PM,2:00 PM
231834,2:00 PM,2:00 PM
231844,2:00 PM,1:00 PM
231846,2:00 PM,1:00 PM
231848,2:00 PM,2:00 PM
231849,2:00 PM,12:00 PM
231850,2:00 PM,12:00 PM
231851,2:00 PM,12:00 PM
231852,2:00 PM,12:00 PM
231853,2:00 PM,12:00 PM
231854,2:00 PM,12:00 PM
231855,2:00 PM,12:00 PM
231856,2:00 PM,12:00 PM
231857,2:00 PM,12:00 PM
231859,2:00 PM,12:00 PM
231860,2:00 PM,12:00 PM
231861,2:00 PM,12:00 PM
231862,2:00 PM,12:00 PM
231863,2:00 PM,11:00 AM
231864,2:00 PM,2:00 PM
231866,2:00 PM,12:00 PM
231867,2:00 PM,12:00 PM
231868,2:00 PM,12:00 PM
231869,2:00 PM,12:00 PM
231871,2:00 PM,12:00 PM
231874,2:00 PM,12:00 PM
231875,2:00 PM,12:00 PM
231876,2:00 PM,12:00 PM
231877,2:00 PM,12:00 PM
231880,2:00 PM,11:00 AM
231882,11:00 AM,11:00 AM
231883,11:00 AM,11:00 AM
231884,2:00 PM,1:00 PM
231886,2:00 PM,1:00 PM
231891,1:00 PM,11:00 AM
231894,2:00 PM,1:00 PM
231896,2:00 PM,11:00 AM
231897,2:00 PM,11:00 AM
231898,2:00 PM,11:00 AM
231899,2:00 PM,11:00 AM
231900,2:00 PM,11:00 AM
231901,2:00 PM,11:00 AM
231903,2:00 PM,11:00 AM
231904,2:00 PM,11:00 AM
231907,2:00 PM,11:00 AM
231908,2:00 PM,11:00 AM
231910,2:00 PM,2:00 PM
231911,12:00 PM,11:00 AM
231914,2:00 PM,11:00 AM
231915,2:00 PM,11:00 AM
231916,2:00 PM,11:00 AM
231917,2:00 PM,12:00 PM
231918,2:00 PM,12:00 PM
231919,2:00 PM,12:00 PM
231920,2:00 PM,12:00 PM
231921,2:00 PM,12:00 PM
231923,2:00 PM,1:00 PM
231924,2:00 PM,1:00 PM
231925,2:00 PM,12:00 PM
231926,2:00 PM,12:00 PM
231927,2:00 PM,12:00 PM
231928,2:00 PM,12:00 PM
231929,3:00 PM,12:00 PM
231930,3:00 PM,12:00 PM
231931,3:00 PM,12:00 PM
231932,3:00 PM,12:00 PM
231933,3:00 PM,12:00 PM
231935,3:00 PM,12:00 PM
231936,3:00 PM,12:00 PM
231938,3:00 PM,12:00 PM
231939,3:00 PM,12:00 PM
231940,3:00 PM,12:00 PM
231941,3:00 PM,12:00 PM
231943,3:00 PM,12:00 PM
231944,3:00 PM,12:00 PM
231945,3:00 PM,12:00 PM
231946,3:00 PM,12:00 PM
231954,2:00 PM,1:00 PM
231958,3:00 PM,12:00 PM
231959,3:00 PM,12:00 PM
231961,3:00 PM,12:00 PM
231969,2:00 PM,2:00 PM
231973,2:00 PM,2:00 PM
231975,2:00 PM,12:00 PM
231976,2:00 PM,12:00 PM
231978,3:00 PM,12:00 PM
231979,1:00 PM,11:00 AM
231980,1:00 PM,11:00 AM
231981,1:00 PM,11:00 AM
231985,2:00 PM,11:00 AM
231986,2:00 PM,11:00 AM
231987,2:00 PM,12:00 PM
231988,2:00 PM,12:00 PM
231989,2:00 PM,12:00 PM
231990,2:00 PM,12:00 PM
231993,2:00 PM,12:00 PM
231995,2:00 PM,12:00 PM
231997,2:00 PM,1:00 PM
231998,2:00 PM,1:00 PM
231999,2:00 PM,1:00 PM
232000,2:00 PM,1:00 PM
232001,2:00 PM,12:00 PM
232002,2:00 PM,12:00 PM
232005,2:00 PM,12:00 PM
232006,2:00 PM,12:00 PM
232007,2:00 PM,11:00 AM
232008,2:00 PM,2:01 PM
232009,2:00 PM,2:00 PM
232010,2:00 PM,1:00 PM
232012,2:00 PM,1:00 PM
232013,3:00 PM,12:00 PM
232014,2:00 PM,12:00 PM
232015,2:00 PM,12:00 PM
232016,2:00 PM,12:00 PM
