State,Max RV Length,Measured Avg Site (ft),Measured Longest (ft),Tow Vehicle Counted in Site Length,Vehicles Allowed per Site,Where Tow / Extra Vehicles Park,Site Sizes Published?,Source,Campsite Check-in,Campsite Check-out,Check-in/out Source,Separate Tow Parking,Nightly Cost,Max Consecutive Nights,Fees/Stay Note,Fees/Stay Source
Alabama,Varies by park; Chewacla up to 60 ft; Gulf SP pads ~45 ft back-in to ~65 ft pull-through,,,Not stated,2 vehicles per site (Lake Guntersville); 1 wheeled camper + 1 tent,Not stated,Per-park camping pages,https://www.alapark.com/camping,2:00 PM,11:00 AM,https://reserve.alapark.com/cheaha/campsites,Not stated,$25-$45,14 nights,31 nights Nov 1 - Mar 31 at some parks,https://www.alapark.com/camping
Alaska,"Measured from the reservation system: longest site 110 ft; Per campground, posted on each campground page (e.g. Eklutna Lake 30 ft, K'esugi Ken 25 ft, Crooked Creek 35 ft)",48,110,Not stated,More than the allowed number requires a special use permit,Not stated,Campsite counts + RV-parking flag in the statewide campsite list,https://dnr.alaska.gov/parks/units/campsitelist.htm,Varies by park,Varies by park,https://alaskastateparks.reserveamerica.com/camping/kesugi-ken-campground/r/campgroundDetails.do?contractCode=AK&parkId=1181700,Not stated,$10-$45,15 nights,4-15 nights depending on the campground; longer needs a special-use permit,https://dnr.alaska.gov/parks/asp/fees.htm
Arizona,Measured from the reservation system: longest site 172 ft; Not published statewide; per site in the reservation system,57,172,Not stated for length,Fee covers 1 vehicle per campsite,Extra-vehicle fee waived for a vehicle towed behind the primary vehicle,No,https://azstateparks.com/reservation-policies,2:00 PM,12:00 PM,https://azstateparks.com/reservation-policies,Not stated,$25-$50,14 nights,"14 nights per 30-day period per park, per household; manager may extend",https://azstateparks.com/reservation-policies
Arkansas,Measured from the reservation system: longest site 113 ft; Not published as a number; governed by the spur,49,113,"YES - ""combined length ... may not exceed the capacity of the camping spur""",Camping unit = max 2 structures (e.g. 1 RV + 1 tent); occupancy 8,Not stated,No,https://www.arkansasstateparks.com/about/rules-regulations,3:00 PM,3:00 PM,https://reserve.arkansasstateparks.com/petit-jean/camping,"No, must fit on site",$12-$42,14 nights,Superintendent may add a 7-day extension Apr-Oct when not full,https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=22&chapterID=195&subChapterID=240&partID=813&subPartID=6651&sectionID=43230
California,Measured from the reservation system: longest site 75 ft; Not published statewide; per site in ReserveCalifornia,32,75,"Not stated for length; fee covers ""one vehicle and one legally towed vehicle or trailer""",Reservation covers 1 vehicle even where the site holds two,Not stated,Per site in ReserveCalifornia,https://www.parks.ca.gov/?page_id=1029,2:00 PM,12:00 PM,https://www.parks.ca.gov/?page_id=1029,Not stated,$20-$58,7 nights,"7 consecutive nights at most parks, 30 nights per calendar year; 48-hour break after",https://www.parks.ca.gov/?page_id=1029
Colorado,Measured from the reservation system: longest site 190 ft; Not published statewide,48,190,Not stated for length,1 vehicle plus camping equipment; a second if space allows,Free towed-vehicle pass for a vehicle towed in by a motorhome; slide-in truck campers do not qualify,No,https://cpw.state.co.us/camping,1:00 PM,12:00 PM,https://cpw.state.co.us/state-parks/cherry-creek-state-park/cherry-creek-state-park-camping-lodging,Not stated,$13-$41,14 nights,"14 nights per 28-day period, consecutive or not; entrance fee extra",https://cpw.state.co.us/camping
Connecticut,"Measured from the reservation system: longest site 35 ft; Per site - ""Campsite details list the maximum vehicle length for sites that allow RVs or trailers""",33,35,Not stated,Not stated,Not stated,Per site in the reservation system,https://portal.ct.gov/deep/state-parks/camping/camping---ct-state-parks-and-forests,1:00 PM,12:00 PM,https://ctparks.com/camping,Not stated,$17 resident / $27 non-resident,14 nights,21 nights at Hammonasset Beach and Rocky Neck; 5-day break after every stay,https://portal.ct.gov/DEEP/State-Parks/Parking-and-Camping-Fees---CT-State-Parks-and-Forests
Delaware,Measured from the reservation system: longest site 128 ft; Not published,37,128,Not stated,"1 vehicle per campsite; 1 mobile camping unit + 1 tent, or 2 tents",Overflow parking available,No,https://www.destateparks.com/policies-and-regulations/,1:00 PM,12:00 PM,https://www.destateparks.com/overnight-accommodations/,Yes,$20-$45,14 nights,"14 days for cabins; state forest sites (Blackbird, Redden) are 3 nights",https://www.destateparks.com/passes-permits-and-fees/
Florida,Measured from the reservation system: longest site 125 ft; Varies by park (e.g. Ochlockonee River 40 ft),39,125,"Effectively YES - ""consider the overall length and width of your camper or RV and your tow vehicle when deciding if a site is appropriate""",Not stated,"On the site (max two vehicles per site); additional vehicles ""may be required to park in designated areas"" at staff discretion",Per-site max vehicle length on each park's reservation page,https://www.floridastateparks.org/rv-camping,3:00 PM,1:00 PM,https://www.floridastateparks.org/reservation-information,"No, must fit on site",$16-$42,14 nights,Manager may extend to 28 nights total; then 3 nights out of the park,https://www.floridastateparks.org/reservation-information
Georgia,Measured from the reservation system: longest site 180 ft; Not published statewide,44,180,Not stated,"1 motor home + 2 autos + 1 tent, or 1 auto with trailer + 1 auto + 1 tent, or 1 pickup camper + 2 autos + 1 tent",Not stated,RV Guide exists but is a scanned/graphic PDF,https://gastateparks.org/ReservationPolicies,1:00 PM,12:00 PM,https://gastateparks.org/ReservationPolicies,Not stated,$23-$50,14 nights,3-night break required before returning to the same park,https://gastateparks.org/ReservationPolicies
