State	MaxLen	TowIncluded	VehiclesPerSite	TowParking	SizeCounts	Source
Oregon	Most campgrounds up to 50 ft; site lengths vary greatly even within a park	YES - explicit: "you must also be able to fit your tow vehicle onto the paved driveway"; 25 ft RV + 22 ft tow = need 47 ft site	1 towed vehicle free; extra driven vehicle $10	Some campgrounds allow extra-vehicle parking only in designated overflow areas	Per-site lengths listed on reserveamerica.com park pages	https://stateparks.oregon.gov/index.cfm?do=visit.dsp_faq
Wisconsin	Filter by trailer/RV length in 5 ft intervals	YES - explicit: length "indicates the maximum driveway length you have to fit all your equipment on the site (your trailer or RV, including the tow vehicle)"	Not stated	Not stated	Reservation filter buckets sites by 5 ft interval	https://dnr.wisconsin.gov/topic/parks/camping/faq
Virginia	Varies by park; published per park, 20 ft to 65 ft	Not stated	Not stated	Not stated	YES - full per-park counts published (22 parks)	https://www.dcr.virginia.gov/state-parks/recreational-vehicles
California	Not published statewide	Not stated for length; fee-wise "Fees include entry for one vehicle and one legally towed vehicle or trailer"	Reservation covers 1 vehicle even if site holds two	Not stated	Per-site in ReserveCalifornia	https://www.parks.ca.gov/?page_id=1029
Colorado	Not published statewide	Not stated for length	1 vehicle in addition to camping equipment; second if space allows	Free towed-vehicle pass for a vehicle towed in by a motorhome; slide-in truck campers do not qualify	Not published	https://cpw.state.co.us/camping
Arizona	Not published statewide	Not stated for length	Fee includes parking for one vehicle only	Extra-vehicle fee waived for a vehicle towed behind the primary vehicle	Not published	https://azstateparks.com/reservation-policies
Rhode Island	Per-site; sites listed with max vehicle length (0 ft = tent only)	Not stated for length	Daily rate includes 1 vehicle pass (drivable unit or the towing vehicle); 2nd pass costs extra	Second vehicle pass extra fee	Per-site max vehicle length in site description	https://riparks.ri.gov/campgrounds/camping-policies
Idaho	Not published statewide	Not stated	1 vehicle per reservation; 1 extra vehicle allowed at $7	Not stated	Not published	https://parksandrecreation.idaho.gov/park-activity/camping/
Connecticut	Per-site; "Campsite details list the maximum vehicle length for sites that allow RVs or trailers"	Not stated	Not stated	Not stated	Per-site in reservation system	https://portal.ct.gov/deep/state-parks/camping/camping---ct-state-parks-and-forests
Vermont	Not published statewide	Not stated	Max 8 people and 2 vehicles per site	Not stated	Not published	https://www.vtstateparks.com/camping
Michigan	Not published statewide	Not stated	"only two vehicles are allowed on each campsite"; 1 camping unit	Not stated	Per-site in MiDNRReservations	https://www.michigan.gov/dnr/places/state-parks/rules
North Carolina	Not published statewide	Not stated	"maximum limit of six people, two tents, and two vehicles per family campsite"	Not stated	Not published	https://www.ncparks.gov/about-us/guidelines-park-rules-and-regulations
Texas	Set per park by the park manager, not statewide	Not stated for length; excess-vehicle fee exists "due to limited campsite parking pad size and overflow parking areas"	Vehicle occupancy limit set per park; limit 1 RV per non-group campsite; motorcycles count as 1/2 vehicle	Overflow parking areas; excess vehicle fee	Not published	https://tpwd.texas.gov/state-parks/park-reservation-information/vehicle-type-guidelines.pdf
New York	Not published - NOT STATED anywhere on camping pages	Not stated	"2 tents or 1 unit of hard-wheeled camping equipment and 1 tent"	Not stated	Not published; contact the campsite before booking	https://parks.ny.gov/camping/things-to-know
Florida	Varies by park (e.g. Ochlockonee River 40 ft)	Effectively YES - "consider the overall length and width of your camper or RV and your tow vehicle when deciding if a site is appropriate"	Not stated	Not stated	Per-site max vehicle length on the park reservation page	https://www.floridastateparks.org/rv-camping
Pennsylvania	Not published statewide	Not stated	1 vehicle at a campsite in addition to the camping unit	Additional vehicles park on the camping spur for a fee, or free in a second-car parking area	Not published	https://www.pa.gov/agencies/dcnr/recreation/what-to-do/stay-overnight/rv-and-tent-campsites
Ohio	Not published statewide	Not stated	2 vehicles per site (or 1 vehicle and 1 boat)	Extra vehicles, boats and trailers park in the camp office lot	Per-site on reserveohio.com	https://ohiodnr.gov/rules-and-regulations/rules-and-regulations-by-division/state-parks-and-watercraft/ohio-state-park-rules/camping-rules
Hawaii	Not applicable - no RV camping in the state park system	n/a	n/a	n/a	n/a	https://dlnr.hawaii.gov/dsp/camping/
Washington	Not published statewide	Not stated	Max 8 persons per campsite	Individual parks post vehicle limits (e.g. Deception Pass West Beach lot bars vehicles over 25 ft)	Not published	https://parks.wa.gov/find-activity/activity-search/camping
