State,Park,Max Length (ft),Hookups,Amps,Entry,Sites
Alaska,Chugach State Park,20,N,0,P,1
Alaska,Eagle Beach State Recreation Area,24,N,0,B,1
Alaska,Finger Lake State Recreation Site,19,N,0,B,1
Alaska,Finger Lake State Recreation Site,20,N,0,B,1
Alaska,Finger Lake State Recreation Site,22,N,0,B,1
Alaska,Finger Lake State Recreation Site,24,N,0,B,1
Alaska,Finger Lake State Recreation Site,26,N,0,B,1
Alaska,Finger Lake State Recreation Site,28,N,0,B,1
Alaska,Finger Lake State Recreation Site,32,N,0,B,1
Alaska,Finger Lake State Recreation Site,34,N,0,B,2
Alaska,Finger Lake State Recreation Site,35,N,0,B,2
Alaska,Finger Lake State Recreation Site,40,N,0,B,2
Alaska,Finger Lake State Recreation Site,42,N,0,B,1
Alaska,Finger Lake State Recreation Site,45,N,0,B,1
Alaska,Finger Lake State Recreation Site,47,N,0,B,1
Alaska,Finger Lake State Recreation Site,50,N,0,B,2
Alaska,Finger Lake State Recreation Site,52,N,0,B,1
Alaska,Finger Lake State Recreation Site,54,N,0,B,1
Alaska,Fort Abercrombie State Historic Park,20,N,0,B,1
Alaska,Harding Lake State Recreation Area,35,N,0,P,1
Alaska,Johnson Lake State Recreation Area,35,N,0,B,19
Alaska,K'esugi Ken Campground,40,N,0,P,1
Alaska,K'esugi Ken Campground,53,WE,0,B,5
Alaska,K'esugi Ken Campground,56,WE,0,B,1
Alaska,K'esugi Ken Campground,57,WE,0,B,1
Alaska,K'esugi Ken Campground,59,WE,0,B,1
Alaska,K'esugi Ken Campground,60,WE,0,B,1
Alaska,K'esugi Ken Campground,63,WE,0,B,5
Alaska,K'esugi Ken Campground,64,WE,0,B,1
Alaska,K'esugi Ken Campground,67,WE,0,B,1
Alaska,K'esugi Ken Campground,68,WE,0,B,1
Alaska,K'esugi Ken Campground,69,WE,0,B,2
Alaska,K'esugi Ken Campground,70,WE,0,B,1
Alaska,K'esugi Ken Campground,72,WE,0,B,1
Alaska,K'esugi Ken Campground,74,WE,0,B,1
Alaska,K'esugi Ken Campground,95,E,0,P,1
Alaska,K'esugi Ken Campground,95,WE,0,P,1
Alaska,K'esugi Ken Campground,100,WE,0,P,1
Alaska,K'esugi Ken Campground,110,WE,0,P,2
Alaska,Nancy Lake State Recreation Area,40,N,0,P,1
Arizona,Alamo Lake,15,E,50,?,1
Arizona,Alamo Lake,20,N,0,?,1
Arizona,Alamo Lake,20,E,50,?,2
Arizona,Alamo Lake,25,E,50,?,2
Arizona,Alamo Lake,26,E,50,?,4
Arizona,Alamo Lake,30,N,0,?,4
Arizona,Alamo Lake,30,E,50,?,1
Arizona,Alamo Lake,33,N,0,?,1
