State,Separate Tow Parking,Basis
Ohio,Yes,"Extra vehicles, boats and trailers must park in the camp office lot"
Indiana,Yes,Additional vehicles must be parked in designated campground parking lots
Pennsylvania,Yes,"Extra vehicles park on the spur for a fee, or free in a second-car parking area"
Delaware,Yes,Overflow parking available
Texas,Yes,Overflow parking areas; excess-vehicle fee applies
New Jersey,Yes,"Additional vehicles $5/night, parked where the superintendent designates"
Oregon,Some parks,Some campgrounds allow extra-vehicle parking only in designated overflow areas
Wisconsin,"No, must fit on site","The listed length must hold all your equipment, tow vehicle included"
Arkansas,"No, must fit on site",Combined length may not exceed the capacity of the camping spur
Missouri,"No, must fit on site",All wheeled equipment and vehicles must fit on the parking pad
Tennessee,"No, must fit on site",Vehicles park in the site's designated parking spot
