State,Park Name,Official Website
Arizona,Alamo Lake State Park,https://azstateparks.com/alamo-lake
Arizona,Buckskin Mountain State Park,https://azstateparks.com/buckskin
Arizona,Catalina State Park,https://azstateparks.com/catalina
Arizona,Cattail Cove State Park,https://azstateparks.com/cattail-cove
Arizona,Colorado River State Historic Park,https://azstateparks.com/colorado-river
Arizona,Dankworth Pond State Park,https://azstateparks.com/dankworth-pond
Arizona,Dead Horse Ranch State Park,https://azstateparks.com/dead-horse
Arizona,Fool Hollow Lake Recreation Area,https://azstateparks.com/fool-hollow
Arizona,Fort Verde State Historic Park,https://azstateparks.com/fort-verde
Arizona,Granite Mountain Hotshots Memorial State Park,https://azstateparks.com/hotshots
Arizona,Homolovi State Park,https://azstateparks.com/homolovi
Arizona,Jerome State Historic Park,https://azstateparks.com/jerome
Arizona,Kartchner Caverns State Park,https://azstateparks.com/kartchner
Arizona,Lake Havasu State Park,https://azstateparks.com/lake-havasu
Arizona,Lost Dutchman State Park,https://azstateparks.com/lost-dutchman
Arizona,Lyman Lake State Park,https://azstateparks.com/lyman-lake
Arizona,McFarland State Historic Park,https://azstateparks.com/mcfarland
Arizona,Oracle State Park,https://azstateparks.com/oracle
Arizona,Patagonia Lake State Park,https://azstateparks.com/patagonia-lake
Arizona,Picacho Peak State Park,https://azstateparks.com/picacho
Arizona,Red Rock State Park,https://azstateparks.com/red-rock
Arizona,Riordan Mansion State Historic Park,https://azstateparks.com/riordan-mansion
Arizona,River Island State Park,https://azstateparks.com/river-island
Arizona,Rockin' River Ranch State Park,https://azstateparks.com/rockin-river
Arizona,Roper Lake State Park,https://azstateparks.com/roper-lake
Arizona,San Rafael State Natural Area,https://azstateparks.com/san-rafael
Arizona,Slide Rock State Park,https://azstateparks.com/slide-rock
Arizona,Sonoita Creek State Natural Area,https://azstateparks.com/sonoita-creek
Arizona,Tombstone Courthouse State Historic Park,https://azstateparks.com/tombstone
Arizona,Tonto Natural Bridge State Park,https://azstateparks.com/tonto
Arizona,Tubac Presidio State Historic Park,https://azstateparks.com/tubac
Arizona,Verde River Greenway State Natural Area,https://azstateparks.com/verde-river
Arizona,Yuma Territorial Prison State Historic Park,https://azstateparks.com/yuma-territorial
