State,Park Name,Official Website
California,Admiral William Standley State Recreation Area,https://www.parks.ca.gov/?page_id=424
California,Ahjumawi Lava Springs State Park,https://www.parks.ca.gov/?page_id=464
California,Albany State Marine Reserve,https://www.parks.ca.gov/?page_id=22880
California,Anderson Marsh State Historic Park,https://www.parks.ca.gov/?page_id=483
California,Andrew Molera State Park,https://www.parks.ca.gov/?page_id=582
California,Angel Island State Park,https://www.parks.ca.gov/?page_id=468
California,Antelope Valley California Poppy Reserve State Natural Reserve,https://www.parks.ca.gov/?page_id=627
California,Antelope Valley Indian Museum State Historic Park,https://www.parks.ca.gov/?page_id=632
California,Anza-Borrego Desert State Park,https://www.parks.ca.gov/?page_id=638
California,Armstrong Redwoods State Natural Reserve,https://www.parks.ca.gov/?page_id=450
California,Arthur B. Ripley Desert Woodland State Park,https://www.parks.ca.gov/?page_id=634
California,Asilomar State Beach,https://www.parks.ca.gov/?page_id=566
California,Auburn State Recreation Area,https://www.parks.ca.gov/?page_id=502
California,Austin Creek State Recreation Area,https://www.parks.ca.gov/?page_id=452
California,Azalea State Natural Reserve,https://www.parks.ca.gov/?page_id=420
California,Año Nuevo State Park,https://www.parks.ca.gov/?page_id=523
California,Bale Grist Mill State Historic Park,https://www.parks.ca.gov/?page_id=482
California,Bean Hollow State Beach,https://www.parks.ca.gov/?page_id=527
California,Benbow State Recreation Area,https://www.parks.ca.gov/?page_id=426
California,Benicia Capitol State Historic Park,https://www.parks.ca.gov/?page_id=475
California,Benicia State Recreation Area,https://www.parks.ca.gov/?page_id=476
California,Bethany Reservoir State Recreation Area,https://www.parks.ca.gov/?page_id=562
California,Bidwell Mansion State Historic Park,https://www.parks.ca.gov/?page_id=460
California,Bidwell-Sacramento River State Park,https://www.parks.ca.gov/?page_id=463
California,Big Basin Redwoods State Park,https://www.parks.ca.gov/?page_id=540
California,Bodie State Historic Park,https://www.parks.ca.gov/?page_id=509
California,Bolsa Chica State Beach,https://www.parks.ca.gov/?page_id=642
California,Border Field State Park,https://www.parks.ca.gov/?page_id=664
California,Bothe-Napa Valley State Park,https://www.parks.ca.gov/?page_id=477
California,Brannan Island State Recreation Area,https://www.parks.ca.gov/?page_id=487
California,Burton Creek State Park,https://www.parks.ca.gov/?page_id=512
California,Butano State Park,https://www.parks.ca.gov/?page_id=536
California,Calaveras Big Trees State Park,https://www.parks.ca.gov/?page_id=551
California,California Citrus State Historic Park,https://www.parks.ca.gov/?page_id=649
California,Cambria State Marine Park,https://www.parks.ca.gov/?page_id=27201
California,Candlestick Point State Recreation Area,https://www.parks.ca.gov/?page_id=519
California,Cardiff State Beach,https://www.parks.ca.gov/?page_id=656
California,Carlsbad State Beach,https://www.parks.ca.gov/?page_id=653
California,Carmel River State Beach,https://www.parks.ca.gov/?page_id=567
California,Carnegie State Vehicular Recreation Area,https://www.parks.ca.gov/?page_id=1172
California,Carpinteria State Beach,https://www.parks.ca.gov/?page_id=599
California,Caspar Headlands State Beach,https://www.parks.ca.gov/?page_id=445
California,Caspar Headlands State Natural Reserve,https://www.parks.ca.gov/?page_id=444
California,Castaic Lake State Recreation Area,https://www.parks.ca.gov/?page_id=628
California,Castle Crags State Park,https://www.parks.ca.gov/?page_id=454
California,Castle Rock State Park,https://www.parks.ca.gov/?page_id=538
California,Caswell Memorial State Park,https://www.parks.ca.gov/?page_id=557
California,Cayucos State Beach,https://www.parks.ca.gov/?page_id=596
California,China Camp State Park,https://www.parks.ca.gov/?page_id=466
California,Chino Hills State Park,https://www.parks.ca.gov/?page_id=648
California,Chumash Painted Cave State Historic Park,https://www.parks.ca.gov/?page_id=602
California,Clay Pit State Vehicular Recreation Area,https://www.parks.ca.gov/?page_id=25572
California,Clear Lake State Park,https://www.parks.ca.gov/?page_id=473
California,Colonel Allensworth State Historic Park,https://www.parks.ca.gov/?page_id=583
California,Columbia State Historic Park,https://www.parks.ca.gov/?page_id=552
California,Colusa-Sacramento River State Recreation Area,https://www.parks.ca.gov/?page_id=461
California,Corona del Mar State Beach,https://www.parks.ca.gov/?page_id=652
California,Crystal Cove State Park,https://www.parks.ca.gov/?page_id=644
California,Cuyamaca Rancho State Park,https://www.parks.ca.gov/?page_id=667
California,D. L. Bliss State Park,https://www.parks.ca.gov/?page_id=505
California,Del Norte Coast Redwoods State Park,https://www.parks.ca.gov/?page_id=414
California,Dockweiler State Beach,https://www.parks.ca.gov/?page_id=617
California,Doheny State Beach,https://www.parks.ca.gov/?page_id=645
California,Donner Memorial State Park,https://www.parks.ca.gov/?page_id=503
California,Eastern Kern County Onyx Ranch State Vehicular Recreation Area,https://www.parks.ca.gov/?page_id=28617
California,Ed Z'berg Sugar Pine Point State Park,https://www.parks.ca.gov/?page_id=510
California,El Capitán State Beach,https://www.parks.ca.gov/?page_id=601
California,El Presidio de Santa Barbara State Historic Park,https://www.parks.ca.gov/?page_id=608
California,Emerald Bay State Park,https://www.parks.ca.gov/?page_id=506
California,Emeryville Crescent State Marine Reserve,https://www.parks.ca.gov/?page_id=22881
California,Emma Wood State Beach,https://www.parks.ca.gov/?page_id=604
California,Empire Mine State Historic Park,https://www.parks.ca.gov/?page_id=499
California,Estero Bluffs State Park,https://www.parks.ca.gov/?page_id=22263
California,Folsom Lake State Recreation Area,https://www.parks.ca.gov/?page_id=500
California,Folsom Powerhouse State Historic Park,https://www.parks.ca.gov/?page_id=501
