State,Park Name,Official Website
Hawaii,Ahupuaʻa ʻO Kahana State Park,https://dlnr.hawaii.gov/dsp/parks/oahu/ahupuaa-o-kahana-state-park/
Hawaii,Diamond Head State Monument,https://dlnr.hawaii.gov/dsp/parks/oahu/diamond-head-state-monument/
Hawaii,Halekiʻi-Pihana Heiau State Monument,https://dlnr.hawaii.gov/dsp/parks/maui/halekii-pihana-heiau-state-monument/
Hawaii,Heʻeia State Park,https://dlnr.hawaii.gov/dsp/parks/oahu/heeia-state-park/
Hawaii,Hāpuna Beach State Recreation Area,https://dlnr.hawaii.gov/dsp/parks/hawaii/hapuna-beach-state-recreation-area/
Hawaii,Hāʻena State Park,https://dlnr.hawaii.gov/dsp/parks/kauai/haena-state-park/
Hawaii,Kaiwi State Scenic Shoreline,https://dlnr.hawaii.gov/dsp/parks/oahu/kaiwi-state-scenic-shoreline/
Hawaii,Kalōpā State Recreation Area,https://dlnr.hawaii.gov/dsp/parks/hawaii/kalopa-state-recreation-area/
Hawaii,Kaumahina State Wayside,https://dlnr.hawaii.gov/dsp/parks/maui/kaumahina-state-wayside/
Hawaii,Kaʻena Point State Park,https://dlnr.hawaii.gov/dsp/parks/oahu/kaena-point-state-park/
Hawaii,Kealakekua Bay State Historical Park,https://dlnr.hawaii.gov/dsp/parks/hawaii/kealakekua-bay-state-historical-park/
Hawaii,Keaīwa Heiau State Recreation Area,https://dlnr.hawaii.gov/dsp/parks/oahu/keaiwa-heiau-state-recreation-area/
Hawaii,Kekaha Kai (Kona Coast) State Park,https://dlnr.hawaii.gov/dsp/parks/hawaii/kekaha-kai-kona-coast-state-park/
Hawaii,Keʻehi Lagoon Memorial State Park,https://dlnr.hawaii.gov/dsp/parks/oahu/keehi-lagoon-memorial-state-park/
Hawaii,Kohala Historical Sites State Monument,https://dlnr.hawaii.gov/dsp/parks/hawaii/kohala-historical-sites-state-monument/
Hawaii,Kōkeʻe State Park,https://dlnr.hawaii.gov/dsp/parks/kauai/kokee-state-park/
Hawaii,Lapakahi State Historical Park,https://dlnr.hawaii.gov/dsp/parks/hawaii/lapakahi-state-historical-park/
Hawaii,Lava Tree State Monument,https://dlnr.hawaii.gov/dsp/parks/hawaii/lava-tree-state-monument/
Hawaii,Lāʻie Point State Wayside,https://dlnr.hawaii.gov/dsp/parks/oahu/laie-point-state-wayside/
Hawaii,MacKenzie State Recreation Area,https://dlnr.hawaii.gov/dsp/parks/hawaii/mackenzie-state-recreation-area/
Hawaii,Manukā State Wayside,https://dlnr.hawaii.gov/dsp/parks/hawaii/manuka-state-wayside/
Hawaii,Mākena State Park,https://dlnr.hawaii.gov/dsp/parks/maui/makena-state-park/
Hawaii,Mālaekahana State Recreation Area,https://dlnr.hawaii.gov/dsp/parks/oahu/malaekahana-state-recreation-area/
Hawaii,Nuʻuanu Pali State Wayside,https://dlnr.hawaii.gov/dsp/parks/oahu/nuuanu-pali-state-wayside/
Hawaii,Nāpali Coast State Wilderness Park,https://dlnr.hawaii.gov/dsp/parks/kauai/napali-coast-state-wilderness-park/
Hawaii,Polihale State Park,https://dlnr.hawaii.gov/dsp/parks/kauai/polihale-state-park/
