State,Park Name,Official Website
Idaho,Bear Lake State Park,https://parksandrecreation.idaho.gov/state-park/bear-lake-state-park/
Idaho,Bruneau Dunes State Park,https://parksandrecreation.idaho.gov/state-park/bruneau-dunes-state-park/
Idaho,Castle Rocks State Park,https://parksandrecreation.idaho.gov/state-park/castle-rocks-state-park/
Idaho,Coeur d’Alene’s Old Mission State Park,https://parksandrecreation.idaho.gov/state-park/coeur-dalenes-old-mission-state-park/
Idaho,Dworshak State Park,https://parksandrecreation.idaho.gov/state-park/dworshak-state-park/
Idaho,Eagle Island State Park,https://parksandrecreation.idaho.gov/state-park/eagle-island-state-park/
Idaho,Farragut State Park,https://parksandrecreation.idaho.gov/state-park/farragut-state-park/
Idaho,Harriman State Park,https://parksandrecreation.idaho.gov/state-park/harriman-state-park/
Idaho,Hells Gate State Park,https://parksandrecreation.idaho.gov/state-park/hells-gate-state-park/
Idaho,Henrys Lake State Park,https://parksandrecreation.idaho.gov/state-park/henrys-lake-state-park/
Idaho,Heyburn State Park,https://parksandrecreation.idaho.gov/state-park/heyburn-state-park/
Idaho,Lake Cascade State Park,https://parksandrecreation.idaho.gov/state-park/lake-cascade-state-park/
Idaho,Lake Walcott State Park,https://parksandrecreation.idaho.gov/state-park/lake-walcott-state-park/
Idaho,Land of the Yankee Fork State Park,https://parksandrecreation.idaho.gov/state-park/land-of-the-yankee-fork-state-park/
Idaho,Lucky Peak State Park,https://parksandrecreation.idaho.gov/state-park/lucky-peak-state-park/
Idaho,Massacre Rocks State Park,https://parksandrecreation.idaho.gov/state-park/massacre-rocks-state-park/
Idaho,McCroskey State Park,https://parksandrecreation.idaho.gov/state-park/mccroskey-state-park/
Idaho,Ponderosa State Park,https://parksandrecreation.idaho.gov/state-park/ponderosa-state-park/
Idaho,Priest Lake State Park,https://parksandrecreation.idaho.gov/state-park/priest-lake-state-park/
Idaho,Round Lake State Park,https://parksandrecreation.idaho.gov/state-park/round-lake-state-park/
Idaho,Thousand Springs State Park,https://parksandrecreation.idaho.gov/state-park/thousand-springs-state-park/
Idaho,Three Island Crossing State Park,https://parksandrecreation.idaho.gov/state-park/three-island-crossing-state-park/
Idaho,Twin Peaks Ranch State Park,https://parksandrecreation.idaho.gov/state-park/twin-peaks-ranch-state-park/
Idaho,Winchester Lake State Park,https://parksandrecreation.idaho.gov/state-park/winchester-lake-state-park/
