State,Park Name,Official Website
Minnesota,Afton State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00100
Minnesota,Banning State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00103
Minnesota,Bear Head Lake State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00109
Minnesota,Beaver Creek Valley State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00112
Minnesota,Big Stone Lake State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00115
Minnesota,Blue Mounds State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00121
Minnesota,Buffalo River State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00124
Minnesota,Camden State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00127
Minnesota,Carley State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00130
Minnesota,Cascade River State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00133
Minnesota,Charles A. Lindbergh State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00136
Minnesota,Crow Wing State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00139
Minnesota,Father Hennepin State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00142
Minnesota,Flandrau State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00145
Minnesota,Forestville/Mystery Cave State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00148
Minnesota,Fort Ridgely State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00151
Minnesota,Fort Snelling State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00154
Minnesota,Franz Jevne State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00157
Minnesota,Frontenac State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00160
Minnesota,George H. Crosby Manitou State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00163
Minnesota,Glacial Lakes State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00166
Minnesota,Glendalough State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00167
Minnesota,Gooseberry Falls State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00172
Minnesota,Grand Portage State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00173
Minnesota,Great River Bluffs State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00244
Minnesota,Hayes Lake State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00174
Minnesota,Hill Annex Mine State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00176
Minnesota,Interstate State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00178
Minnesota,Itasca State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00181
Minnesota,Jay Cooke State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00187
Minnesota,John A. Latsch State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00177
Minnesota,Judge C.R. Magney State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00193
Minnesota,Kilen Woods State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00196
Minnesota,Lac qui Parle State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00197
Minnesota,Lake Bemidji State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00205
Minnesota,Lake Bronson State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00208
Minnesota,Lake Carlos State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00211
Minnesota,Lake Louise State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00214
Minnesota,Lake Maria State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00217
Minnesota,Lake Shetek State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00220
Minnesota,Lake Vermilion-Soudan Underground Mine State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00285
Minnesota,Maplewood State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00229
Minnesota,McCarthy Beach State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00226
Minnesota,Mille Lacs Kathio State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00232
Minnesota,Minneopa State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00235
Minnesota,Monson Lake State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00238
Minnesota,Moose Lake State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00239
Minnesota,Myre-Big Island State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00175
Minnesota,Nerstrand Big Woods State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00241
Minnesota,Old Mill State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00247
Minnesota,Rice Lake State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00250
Minnesota,Sakatah Lake State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00256
Minnesota,Savanna Portage State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00259
Minnesota,Scenic State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00262
Minnesota,Schoolcraft State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00263
Minnesota,Sibley State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00265
Minnesota,Split Rock Creek State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00267
Minnesota,Split Rock Lighthouse State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00266
Minnesota,St. Croix State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00253
Minnesota,Temperance River State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00268
Minnesota,Tettegouche State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00269
Minnesota,Upper Sioux Agency State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00277
Minnesota,Whitewater State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00280
Minnesota,Wild River State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00254
Minnesota,William O'Brien State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00283
Minnesota,Zippel Bay State Park,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00284
