State,Park Name,Official Website
New Jersey,Abram S. Hewitt State Forest,https://dep.nj.gov/parksandforests/state-park/abram-s-hewitt-state-forest/
New Jersey,Allaire State Park,https://dep.nj.gov/parksandforests/state-park/allaire-state-park/
New Jersey,Allamuchy Mountain State Park,https://dep.nj.gov/parksandforests/state-park/allamuchy-mountain-state-park/
New Jersey,Atsion Recreation Area,https://dep.nj.gov/parksandforests/state-park/atsion-recreation-area/
New Jersey,Barnegat Lighthouse State Park,https://dep.nj.gov/parksandforests/state-park/barnegat-lighthouse-state-park/
New Jersey,Bass River State Forest,https://dep.nj.gov/parksandforests/state-park/bass-river-state-forest/
New Jersey,Belleplain State Forest,https://dep.nj.gov/parksandforests/state-park/belleplain-state-forest/
New Jersey,Brendan T. Byrne State Forest,https://dep.nj.gov/parksandforests/state-park/brendan-t-byrne-state-forest/
New Jersey,Bulls Island Recreation Area,https://dep.nj.gov/parksandforests/state-park/bulls-island-recreation-area/
New Jersey,Cape May Point State Park,https://dep.nj.gov/parksandforests/state-park/cape-may-point-state-park/
New Jersey,Cheesequake State Park,https://dep.nj.gov/parksandforests/state-park/cheesequake-state-park/
New Jersey,Corson's Inlet State Park,https://dep.nj.gov/parksandforests/state-park/corson-s-inlet-state-park/
New Jersey,D & R Canal State Park,https://dep.nj.gov/parksandforests/state-park/dr-canal-state-park/
New Jersey,Double Trouble State Park,https://dep.nj.gov/parksandforests/state-park/double-trouble-state-park/
New Jersey,Farny State Park,https://dep.nj.gov/parksandforests/state-park/farny-state-park/
New Jersey,Forked River State Marina,https://dep.nj.gov/parksandforests/state-park/forked-river-state-marina/
New Jersey,Fort Mott State Park,https://dep.nj.gov/parksandforests/state-park/fort-mott-state-park/
New Jersey,Fortescue State Marina,https://dep.nj.gov/parksandforests/state-park/fortescue-state-marina/
New Jersey,Hacklebarney State Park,https://dep.nj.gov/parksandforests/state-park/hacklebarney-state-park/
New Jersey,High Point State Park,https://dep.nj.gov/parksandforests/state-park/high-point-state-park/
New Jersey,Hopatcong State Park,https://dep.nj.gov/parksandforests/state-park/hopatcong-state-park/
New Jersey,Island Beach State Marina,https://dep.nj.gov/parksandforests/state-park/island-beach-state-marina/
New Jersey,Island Beach State Park,https://dep.nj.gov/parksandforests/state-park/island-beach-state-park/
New Jersey,Jenny Jump State Forest,https://dep.nj.gov/parksandforests/state-park/jenny-jump-state-forest/
New Jersey,Kittatinny Valley State Park,https://dep.nj.gov/parksandforests/state-park/kittatinny-valley-state-park/
New Jersey,Leonardo State Marina,https://dep.nj.gov/parksandforests/state-park/leonardo-state-marina/
New Jersey,Liberty Landing State Marina,https://dep.nj.gov/parksandforests/state-park/liberty-landing-state-marina/
New Jersey,Liberty State Park,https://dep.nj.gov/parksandforests/state-park/liberty-state-park/
New Jersey,Long Pond Ironworks State Park,https://dep.nj.gov/parksandforests/state-park/long-pond-ironworks-state-park/
New Jersey,Monmouth Battlefield State Park,https://dep.nj.gov/parksandforests/state-park/monmouth-battlefield-state-park/
New Jersey,North Brigantine Natural Area,https://dep.nj.gov/parksandforests/state-park/north-brigantine-natural-area/
New Jersey,Norvin Green State Forest,https://dep.nj.gov/parksandforests/state-park/norvin-green-state-forest/
New Jersey,Parvin State Park,https://dep.nj.gov/parksandforests/state-park/parvin-state-park/
New Jersey,Penn State Forest,https://dep.nj.gov/parksandforests/state-park/penn-state-forest/
New Jersey,Pigeon Swamp State Park,https://dep.nj.gov/parksandforests/state-park/pigeon-swamp-state-park/
New Jersey,Princeton Battlefield State Park,https://dep.nj.gov/parksandforests/state-park/princeton-battlefield-state-park/
New Jersey,Ramapo Mountain State Forest,https://dep.nj.gov/parksandforests/state-park/ramapo-mountain-state-forest/
New Jersey,Rancocas State Park,https://dep.nj.gov/parksandforests/state-park/rancocas-state-park/
New Jersey,Ringwood State Park,https://dep.nj.gov/parksandforests/state-park/ringwood-state-park/
New Jersey,Round Valley Recreation Area,https://dep.nj.gov/parksandforests/state-park/round-valley-recreation-area/
New Jersey,Senator Frank S. Farley State Marina,https://dep.nj.gov/parksandforests/state-park/senator-frank-s-farley-state-marina/
New Jersey,Six Mile Run Reservoir Site,https://dep.nj.gov/parksandforests/state-park/six-mile-run-reservoir-site/
New Jersey,Spruce Run Recreation Area,https://dep.nj.gov/parksandforests/state-park/spruce-run-recreation-area/
New Jersey,Stephens State Park,https://dep.nj.gov/parksandforests/state-park/stephens-state-park/
New Jersey,Stokes State Forest,https://dep.nj.gov/parksandforests/state-park/stokes-state-forest/
New Jersey,Stow Creek State Park,https://dep.nj.gov/parksandforests/state-park/stow-creek-state-park/
New Jersey,Swartswood State Park,https://dep.nj.gov/parksandforests/state-park/swartswood-state-park/
New Jersey,Voorhees State Park,https://dep.nj.gov/parksandforests/state-park/voorhees-state-park/
New Jersey,Warren Grove Recreation Area,https://dep.nj.gov/parksandforests/state-park/warren-grove-recreation-area/
New Jersey,Washington Crossing State Park,https://dep.nj.gov/parksandforests/state-park/washington-crossing-state-park/
New Jersey,Washington Rock State Park,https://dep.nj.gov/parksandforests/state-park/washington-rock-state-park/
New Jersey,Wawayanda State Park,https://dep.nj.gov/parksandforests/state-park/wawayanda-state-park/
New Jersey,Wharton State Forest,https://dep.nj.gov/parksandforests/state-park/wharton-state-forest/
New Jersey,Worthington State Forest,https://dep.nj.gov/parksandforests/state-park/worthington-state-forest/
