State,Park Name,Official Website
New Mexico,Bluewater Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/bluewater-lake-state-park/
New Mexico,Bottomless Lakes State Park,https://www.emnrd.nm.gov/spd/find-a-park/bottomless-lakes-state-park/
New Mexico,Brantley Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/brantley-lake-state-park/
New Mexico,Caballo Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/caballo-lake-state-park/
New Mexico,Cerrillos Hills State Park,https://www.emnrd.nm.gov/spd/find-a-park/cerrillos-hills-state-park/
New Mexico,Cimarron Canyon State Park,https://www.emnrd.nm.gov/spd/find-a-park/cimarron-canyon-state-park/
New Mexico,City of Rocks State Park,https://www.emnrd.nm.gov/spd/find-a-park/city-of-rocks-state-park/
New Mexico,Clayton Lake State Park and Dinosaur Trackways,https://www.emnrd.nm.gov/spd/find-a-park/clayton-lake-state-park-and-dinosaur-trackways/
New Mexico,Conchas Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/conchas-lake-state-park/
New Mexico,Coyote Creek State Park,https://www.emnrd.nm.gov/spd/find-a-park/coyote-creek-state-park/
New Mexico,Eagle Nest Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/eagle-nest-lake-state-park/
New Mexico,El Vado Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/el-vado-lake-state-park/
New Mexico,Elephant Butte Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/elephant-butte-lake-state-park/
New Mexico,Fenton Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/fenton-lake-state-park/
New Mexico,Heron Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/heron-lake-state-park/
New Mexico,Hyde Memorial State Park,https://www.emnrd.nm.gov/spd/find-a-park/hyde-memorial-state-park/
New Mexico,Leasburg Dam State Park,https://www.emnrd.nm.gov/spd/find-a-park/leasburg-dam-state-park/
New Mexico,Living Desert Zoo and Gardens State Park,https://www.emnrd.nm.gov/spd/find-a-park/living-desert-zoo-and-gardens-state-park/
New Mexico,Manzano Mountains State Park,https://www.emnrd.nm.gov/spd/find-a-park/manzano-mountains-state-park/
New Mexico,Mesilla Valley Bosque State Park,https://www.emnrd.nm.gov/spd/find-a-park/mesilla-valley-bosque-state-park/
New Mexico,Morphy Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/morphy-lake-state-park/
New Mexico,Navajo Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/navajo-lake-state-park/
New Mexico,Oasis State Park,https://www.emnrd.nm.gov/spd/find-a-park/oasis-state-park/
New Mexico,Oliver Lee Memorial State Park,https://www.emnrd.nm.gov/spd/find-a-park/oliver-lee-memorial-state-park/
New Mexico,Pancho Villa State Park,https://www.emnrd.nm.gov/spd/find-a-park/pancho-villa-state-park/
New Mexico,Pecos Canyon State Park,https://www.emnrd.nm.gov/spd/find-a-park/pecos-canyon-state-park/
New Mexico,Percha Dam State Park,https://www.emnrd.nm.gov/spd/find-a-park/percha-dam-state-park/
New Mexico,Rio Grande Nature Center State Park,https://www.emnrd.nm.gov/spd/find-a-park/rio-grande-nature-center-state-park/
New Mexico,Rockhound State Park,https://www.emnrd.nm.gov/spd/find-a-park/rockhound-state-park/
New Mexico,Santa Rosa Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/santa-rosa-lake-state-park/
New Mexico,Storrie Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/storrie-lake-state-park/
New Mexico,Sugarite Canyon State Park,https://www.emnrd.nm.gov/spd/find-a-park/sugarite-canyon-state-park/
New Mexico,Sumner Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/sumner-lake-state-park/
New Mexico,Ute Lake State Park,https://www.emnrd.nm.gov/spd/find-a-park/ute-lake-state-park/
New Mexico,Villanueva State Park,https://www.emnrd.nm.gov/spd/find-a-park/villanueva-state-park/
