State,Park Name,Official Website
New York,Allan H. Treman State Marine Park,https://parks.ny.gov/visit/state-parks/allan-h-treman-state-marine-park
New York,Allegany State Park - Quaker Area,https://parks.ny.gov/visit/state-parks/allegany-state-park-quaker-area
New York,Allegany State Park - Red House Area,https://parks.ny.gov/visit/state-parks/allegany-state-park-red-house-area
New York,Anthony Wayne Recreation Area - Bear Mountain State Park,https://parks.ny.gov/visit/state-parks/anthony-wayne-recreation-area-bear-mountain-state-park
New York,Artpark State Park (Earl W. Brydges),https://parks.ny.gov/visit/state-parks/artpark-state-park-earl-w-brydges
New York,Barcelona Lighthouse,https://parks.ny.gov/visit/state-parks/barcelona-lighthouse
New York,Battle Island State Park,https://parks.ny.gov/visit/state-parks/battle-island-state-park
New York,Bayard Cutting Arboretum State Park,https://parks.ny.gov/visit/state-parks/bayard-cutting-arboretum-state-park
New York,Bayswater Point State Park,https://parks.ny.gov/visit/state-parks/bayswater-point-state-park
New York,Bear Mountain State Park,https://parks.ny.gov/visit/state-parks/bear-mountain-state-park
New York,Beaver Island State Park,https://parks.ny.gov/visit/state-parks/beaver-island-state-park
New York,Beaver Pond Campgrounds - Harriman State Park,https://parks.ny.gov/visit/state-parks/beaver-pond-campgrounds-harriman-state-park
New York,Belmont Lake State Park,https://parks.ny.gov/visit/state-parks/belmont-lake-state-park
New York,Bethpage State Park,https://parks.ny.gov/visit/state-parks/bethpage-state-park
New York,Betty and Wilbur Davis State Park,https://parks.ny.gov/visit/state-parks/betty-wilbur-davis-state-park
New York,Big Six Mile Creek Marina,https://parks.ny.gov/visit/state-parks/big-six-mile-creek-marina
New York,Black Diamond Trail,https://parks.ny.gov/visit/state-parks/black-diamond-trail
New York,Black River Trail,https://parks.ny.gov/visit/state-parks/black-river-trail
New York,Blauvelt State Park,https://parks.ny.gov/visit/state-parks/blauvelt-state-park
New York,Bonavista State Park,https://parks.ny.gov/visit/state-parks/bonavista-state-park
New York,Bowman Lake State Park,https://parks.ny.gov/visit/state-parks/bowman-lake-state-park
New York,Brentwood State Park,https://parks.ny.gov/visit/state-parks/brentwood-state-park
New York,Brookhaven State Park,https://parks.ny.gov/visit/state-parks/brookhaven-state-park
New York,Buckhorn Island State Park,https://parks.ny.gov/visit/state-parks/buckhorn-island-state-park
New York,Buffalo Harbor State Park,https://parks.ny.gov/visit/state-parks/buffalo-harbor-state-park
New York,Burnham Point State Park,https://parks.ny.gov/visit/state-parks/burnham-point-state-park
New York,Buttermilk Falls State Park,https://parks.ny.gov/visit/state-parks/buttermilk-falls-state-park
New York,Caleb Smith State Park Preserve,https://parks.ny.gov/visit/state-parks/caleb-smith-state-park-preserve
New York,Camp Hero State Park,https://parks.ny.gov/visit/state-parks/camp-hero-state-park
New York,Canadarago State Marine Park,https://parks.ny.gov/visit/state-parks/canadarago-state-marine-park
New York,Canandaigua Lake State Marine Park,https://parks.ny.gov/visit/state-parks/canandaigua-lake-state-marine-park
New York,Canoe-Picnic Point State Park,https://parks.ny.gov/visit/state-parks/canoe-picnic-point-state-park
New York,Captree State Park,https://parks.ny.gov/visit/state-parks/captree-state-park
New York,Catharine Valley Trail,https://parks.ny.gov/visit/state-parks/catharine-valley-trail
New York,Caumsett State Historic Park Preserve,https://parks.ny.gov/visit/state-parks/caumsett-state-historic-park-preserve
New York,Cayuga Lake State Park,https://parks.ny.gov/visit/state-parks/cayuga-lake-state-park
New York,Cedar Island State Park,https://parks.ny.gov/visit/state-parks/cedar-island-state-park
New York,Cedar Point State Park,https://parks.ny.gov/visit/state-parks/cedar-point-state-park
New York,Chenango Valley State Park,https://parks.ny.gov/visit/state-parks/chenango-valley-state-park
New York,Cherry Plain State Park,https://parks.ny.gov/visit/state-parks/cherry-plain-state-park
New York,Chimney Bluffs State Park,https://parks.ny.gov/visit/state-parks/chimney-bluffs-state-park
New York,Chittenango Falls State Park,https://parks.ny.gov/visit/state-parks/chittenango-falls-state-park
New York,Clark Reservation State Park,https://parks.ny.gov/visit/state-parks/clark-reservation-state-park
New York,Clay Pit Ponds State Park Preserve,https://parks.ny.gov/visit/state-parks/clay-pit-ponds-state-park-preserve
New York,Cold Spring Harbor State Park,https://parks.ny.gov/visit/state-parks/cold-spring-harbor-state-park
New York,Coles Creek State Park,https://parks.ny.gov/visit/state-parks/coles-creek-state-park
New York,Conesus Lake Boat Launch,https://parks.ny.gov/visit/state-parks/conesus-lake-boat-launch
New York,Connetquot River State Park Preserve,https://parks.ny.gov/visit/state-parks/connetquot-river-state-park-preserve
New York,Cumberland Bay State Park,https://parks.ny.gov/visit/state-parks/cumberland-bay-state-park
New York,Darien Lakes State Park,https://parks.ny.gov/visit/state-parks/darien-lakes-state-park
New York,Deans Cove Boat Launch,https://parks.ny.gov/visit/state-parks/deans-cove-boat-launch
New York,Delta Lake State Park,https://parks.ny.gov/visit/state-parks/delta-lake-state-park
New York,DeVeaux Woods State Park,https://parks.ny.gov/visit/state-parks/deveaux-woods-state-park
New York,Dewolf Point State Park,https://parks.ny.gov/visit/state-parks/dewolf-point-state-park
New York,Eel Weir State Park,https://parks.ny.gov/visit/state-parks/eel-weir-state-park
New York,Evangola State Park,https://parks.ny.gov/visit/state-parks/evangola-state-park
New York,Fahnestock State Park (Clarence Fahnestock),https://parks.ny.gov/visit/state-parks/fahnestock-state-park-clarence-fahnestock
New York,Fahnestock Winter Park,https://parks.ny.gov/visit/state-parks/fahnestock-winter-park
New York,Fair Haven Beach State Park,https://parks.ny.gov/visit/state-parks/fair-haven-beach-state-park
New York,Fillmore Glen State Park,https://parks.ny.gov/visit/state-parks/fillmore-glen-state-park
New York,Fort Niagara State Park,https://parks.ny.gov/visit/state-parks/fort-niagara-state-park
New York,Four Mile Creek State Park,https://parks.ny.gov/visit/state-parks/four-mile-creek-state-park
New York,Franklin D. Roosevelt Four Freedoms State Park,https://parks.ny.gov/visit/state-parks/franklin-d-roosevelt-four-freedoms-state-park
New York,Franklin D. Roosevelt State Park,https://parks.ny.gov/visit/state-parks/franklin-d-roosevelt-state-park
New York,Franny Reese State Park,https://parks.ny.gov/visit/state-parks/franny-reese-state-park
New York,Gantry Plaza State Park,https://parks.ny.gov/visit/state-parks/gantry-plaza-state-park
New York,Genesee Valley Greenway State Park,https://parks.ny.gov/visit/state-parks/genesee-valley-greenway-state-park
New York,Gilbert Lake State Park,https://parks.ny.gov/visit/state-parks/gilbert-lake-state-park
New York,Gilgo State Park,https://parks.ny.gov/visit/state-parks/gilgo-state-park
New York,Glimmerglass State Park,https://parks.ny.gov/visit/state-parks/glimmerglass-state-park
New York,Golden Hill State Park,https://parks.ny.gov/visit/state-parks/golden-hill-state-park
New York,Goosepond Mountain State Park,https://parks.ny.gov/visit/state-parks/goosepond-mountain-state-park
New York,Grafton Lakes State Park,https://parks.ny.gov/visit/state-parks/grafton-lakes-state-park
New York,Grass Point State Park,https://parks.ny.gov/visit/state-parks/grass-point-state-park
New York,Green Lakes State Park,https://parks.ny.gov/visit/state-parks/green-lakes-state-park
New York,Hallock State Park Preserve,https://parks.ny.gov/visit/state-parks/hallock-state-park-preserve
New York,Hamlin Beach State Park,https://parks.ny.gov/visit/state-parks/hamlin-beach-state-park
New York,Harriet Hollister Spencer State Recreation Area,https://parks.ny.gov/visit/state-parks/harriet-hollister-spencer-state-recreation-area
New York,Harriman State Park,https://parks.ny.gov/visit/state-parks/harriman-state-park
New York,Heckscher State Park,https://parks.ny.gov/visit/state-parks/heckscher-state-park
New York,Helen McNitt State Park,https://parks.ny.gov/visit/state-parks/helen-mcnitt-state-park
New York,Hempstead Lake State Park,https://parks.ny.gov/visit/state-parks/hempstead-lake-state-park
New York,High Tor State Park,https://parks.ny.gov/visit/state-parks/high-tor-state-park
New York,Highland Lakes State Park,https://parks.ny.gov/visit/state-parks/highland-lakes-state-park
New York,Higley Flow State Park,https://parks.ny.gov/visit/state-parks/higley-flow-state-park
New York,Hither Hills State Park,https://parks.ny.gov/visit/state-parks/hither-hills-state-park
New York,Honeoye Lake Boat Launch State Park,https://parks.ny.gov/visit/state-parks/honeoye-lake-boat-launch-state-park
New York,Hudson Highlands State Park Preserve,https://parks.ny.gov/visit/state-parks/hudson-highlands-state-park-preserve
New York,Hudson River Islands State Park,https://parks.ny.gov/visit/state-parks/hudson-river-islands-state-park
New York,Hudson River Park,https://parks.ny.gov/visit/state-parks/hudson-river-park
New York,Irondequoit Bay State Marine Park,https://parks.ny.gov/visit/state-parks/irondequoit-bay-state-marine-park
