State,Park Name,Official Website
Rhode Island,Beavertail State Park,https://riparks.ri.gov/parks/beavertail-state-park
Rhode Island,Blackstone Bikeway and Visitors Center,https://riparks.ri.gov/parks/blackstone-bikeway-and-visitors-center
Rhode Island,Brenton Point State Park,https://riparks.ri.gov/parks/brenton-point-state-park
Rhode Island,Burlingame State Park,https://riparks.ri.gov/parks/burlingame-state-park
Rhode Island,Colt State Park,https://riparks.ri.gov/parks/colt-state-park
Rhode Island,Eisenhower House Fort Adams State Park,https://riparks.ri.gov/parks/eisenhower-house-fort-adams-state-park
Rhode Island,Fort Adams State Park,https://riparks.ri.gov/parks/fort-adams-state-park
Rhode Island,Fort Wetherill State Park,https://riparks.ri.gov/parks/fort-wetherill-state-park
Rhode Island,Goddard Memorial State Golf Course,https://riparks.ri.gov/parks/goddard-memorial-state-golf-course
Rhode Island,Goddard Memorial State Park,https://riparks.ri.gov/parks/goddard-memorial-state-park
Rhode Island,Haines Memorial State Park,https://riparks.ri.gov/parks/haines-memorial-state-park
Rhode Island,John H Chafee Nature Preserve,https://riparks.ri.gov/parks/john-h-chafee-nature-preserve
Rhode Island,Lincoln Woods State Park,https://riparks.ri.gov/parks/lincoln-woods-state-park
Rhode Island,Pulaski State Park,https://riparks.ri.gov/parks/pulaski-state-park
Rhode Island,Rocky Point State Park,https://riparks.ri.gov/parks/rocky-point-state-park
