State,Park Name,Official Website
South Carolina,Aiken State Park,https://southcarolinaparks.com/aiken
South Carolina,Andrew Jackson State Park,https://southcarolinaparks.com/andrew-jackson
South Carolina,Baker Creek State Park,https://southcarolinaparks.com/baker-creek
South Carolina,Barnwell State Park,https://southcarolinaparks.com/barnwell
South Carolina,Battle of Musgrove Mill State Historic Site,https://southcarolinaparks.com/musgrove-mill
South Carolina,Battle of Rivers Bridge State Historic Site,https://southcarolinaparks.com/rivers-bridge
South Carolina,Black River State Park,https://southcarolinaparks.com/black-river
South Carolina,Caesars Head State Park,https://southcarolinaparks.com/caesars-head
South Carolina,Calhoun Falls State Park,https://southcarolinaparks.com/calhoun-falls
South Carolina,Charles Towne Landing State Historic Site,https://southcarolinaparks.com/charles-towne-landing
South Carolina,Cheraw State Park,https://southcarolinaparks.com/cheraw
South Carolina,Chester State Park,https://southcarolinaparks.com/chester
South Carolina,Colleton State Park,https://southcarolinaparks.com/colleton
South Carolina,Colonial Dorchester State Historic Site,https://southcarolinaparks.com/colonial-dorchester
South Carolina,Croft State Park,https://southcarolinaparks.com/croft
South Carolina,Devils Fork State Park,https://southcarolinaparks.com/devils-fork
South Carolina,Dreher Island State Park,https://southcarolinaparks.com/dreher-island
South Carolina,Edisto Beach State Park,https://southcarolinaparks.com/edisto-beach
South Carolina,Givhans Ferry State Park,https://southcarolinaparks.com/givhans-ferry
South Carolina,Goodale State Park,https://southcarolinaparks.com/goodale
South Carolina,H Cooper Black Recreation Area,https://southcarolinaparks.com/h-cooper-black
South Carolina,Hamilton Branch State Park,https://southcarolinaparks.com/hamilton-branch
South Carolina,Hampton State Historic Site,https://southcarolinaparks.com/hampton
South Carolina,Hickory Knob State Resort Park,https://southcarolinaparks.com/hickory-knob
South Carolina,Hunting Island State Park,https://southcarolinaparks.com/hunting-island
South Carolina,Huntington Beach State Park,https://southcarolinaparks.com/huntington-beach
South Carolina,Jones Gap State Park,https://southcarolinaparks.com/jones-gap
South Carolina,Keowee-Toxaway State Park,https://southcarolinaparks.com/keowee-toxaway
South Carolina,Kings Mountain State Park,https://southcarolinaparks.com/kings-mountain
South Carolina,Lake Greenwood State Park,https://southcarolinaparks.com/lake-greenwood
South Carolina,Lake Hartwell State Park,https://southcarolinaparks.com/lake-hartwell
South Carolina,Lake Warren State Park,https://southcarolinaparks.com/lake-warren
South Carolina,Lake Wateree State Park,https://southcarolinaparks.com/lake-wateree
South Carolina,Landsford Canal State Park,https://southcarolinaparks.com/landsford-canal
South Carolina,Lee State Park,https://southcarolinaparks.com/lee
South Carolina,Little Pee Dee State Park,https://southcarolinaparks.com/little-pee-dee
South Carolina,May Forest State Park,https://southcarolinaparks.com/may-forest
South Carolina,Myrtle Beach State Park,https://southcarolinaparks.com/myrtle-beach
South Carolina,Oconee State Park,https://southcarolinaparks.com/oconee
South Carolina,Oconee Station State Historic Site,https://southcarolinaparks.com/oconee-station
South Carolina,Paris Mountain State Park,https://southcarolinaparks.com/paris-mountain
South Carolina,PIne Island State Park,https://southcarolinaparks.com/pine-island
South Carolina,Poinsett State Park,https://southcarolinaparks.com/poinsett
South Carolina,Redcliffe State Historic Site,https://southcarolinaparks.com/redcliffe
South Carolina,Rose Hill State Historic Site,https://southcarolinaparks.com/rose-hill
South Carolina,Sadlers Creek State Park,https://southcarolinaparks.com/sadlers-creek
South Carolina,Santee State Park,https://southcarolinaparks.com/santee
South Carolina,Sesqui State Park,https://southcarolinaparks.com/sesqui
South Carolina,St. Phillips Island,https://southcarolinaparks.com/st-phillips-island
South Carolina,Table Rock State Park,https://southcarolinaparks.com/table-rock
South Carolina,Woods Bay State Park,https://southcarolinaparks.com/woods-bay
