State,Park Name,Official Website
Utah,Anasazi State Park Museum,https://stateparks.utah.gov/parks/anasazi/
Utah,Antelope Island State Park,https://stateparks.utah.gov/parks/antelope-island/
Utah,Bear Lake State Park,https://stateparks.utah.gov/parks/bear-lake/
Utah,Camp Floyd State Park Museum,https://stateparks.utah.gov/parks/camp-floyd/
Utah,Coral Pink Sand Dunes State Park,https://stateparks.utah.gov/parks/coral-pink/
Utah,Dead Horse Point State Park,https://stateparks.utah.gov/parks/dead-horse/
Utah,Deer Creek State Park,https://stateparks.utah.gov/parks/deer-creek/
Utah,East Canyon State Park,https://stateparks.utah.gov/parks/east-canyon/
Utah,Echo State Park,https://stateparks.utah.gov/parks/echo/
Utah,Edge of the Cedars State Park Museum,https://stateparks.utah.gov/parks/edge-of-the-cedars/
Utah,Escalante Petrified Forest State Park,https://stateparks.utah.gov/parks/escalante-petrified-forest/
Utah,Flight Park State Recreation Area,https://stateparks.utah.gov/parks/flight-park/
Utah,Frontier Homestead State Park Museum,https://stateparks.utah.gov/parks/frontier-homestead/
Utah,Goblin Valley State Park,https://stateparks.utah.gov/parks/goblin-valley/
Utah,Goosenecks State Park,https://stateparks.utah.gov/parks/goosenecks/
Utah,Great Salt Lake State Park,https://stateparks.utah.gov/parks/great-salt-lake/
Utah,Green River State Park,https://stateparks.utah.gov/parks/green-river/
Utah,Gunlock State Park,https://stateparks.utah.gov/parks/gunlock/
Utah,Huntington State Park,https://stateparks.utah.gov/parks/huntington/
Utah,Hyrum State Park,https://stateparks.utah.gov/parks/hyrum/
Utah,Jordan River Off-Highway Vehicle State Park,https://stateparks.utah.gov/parks/jordan-river/
Utah,Jordanelle State Park,https://stateparks.utah.gov/parks/jordanelle/
Utah,Kodachrome Basin State Park,https://stateparks.utah.gov/parks/kodachrome-basin/
Utah,Lost Creek State Park,https://stateparks.utah.gov/parks/lost-creek/
Utah,Millsite State Park,https://stateparks.utah.gov/parks/millsite/
Utah,Otter Creek State Park,https://stateparks.utah.gov/parks/otter-creek/
Utah,Palisade State Park,https://stateparks.utah.gov/parks/palisade/
Utah,Piute State Park,https://stateparks.utah.gov/parks/piute/
Utah,Quail Creek State Park,https://stateparks.utah.gov/parks/quail-creek/
Utah,Red Fleet State Park,https://stateparks.utah.gov/parks/red-fleet/
Utah,Rockport State Park,https://stateparks.utah.gov/parks/rockport/
Utah,Sand Hollow State Park,https://stateparks.utah.gov/parks/sand-hollow/
Utah,Scofield State Park,https://stateparks.utah.gov/parks/scofield/
Utah,Snow Canyon State Park,https://stateparks.utah.gov/parks/snow-canyon/
Utah,Steinaker State Park,https://stateparks.utah.gov/parks/steinaker/
Utah,Territorial Statehouse State Park Museum,https://stateparks.utah.gov/parks/territorial-statehouse/
Utah,Utah Field House of Natural History State Park Museum,https://stateparks.utah.gov/parks/utah-field-house/
Utah,Utah Lake State Park,https://stateparks.utah.gov/parks/utah-lake/
Utah,Utahraptor State Park,https://stateparks.utah.gov/parks/utahraptor/
Utah,Wasatch Mountain State Park,https://stateparks.utah.gov/parks/wasatch-mountain/
Utah,Willard Bay State Park,https://stateparks.utah.gov/parks/willard-bay/
Utah,Yuba State Park,https://stateparks.utah.gov/parks/yuba/
