Park,Official Website,Max Site Length (ft),RV Sites Counted,Sites by Size (as published)
Bear Creek Lake State Park,https://www.dcr.virginia.gov/state-parks/bear-creek-lake,35,34,23 sites up to 20'; 11 sites up to 35'
Belle Isle State Park,https://www.dcr.virginia.gov/state-parks/belle-isle,45,28,28 sites up to 45'
Chippokes State Park,https://www.dcr.virginia.gov/state-parks/chippokes,50,24,5 sites up to 20'; 19 sites up to 50'
Claytor Lake State Park,https://www.dcr.virginia.gov/state-parks/claytor-lake,40,20,20 sites up to 40' in elec./water area only
Douthat State Park,https://www.dcr.virginia.gov/state-parks/douthat,50,87,50 sites up to 40'; 14 sites in the equestrian campground up to 40'; 23 sites up to 50'
Fairy Stone State Park,https://www.dcr.virginia.gov/state-parks/fairy-stone,50,10,up to 35'; 10 sites in the equestrian campground up to 50'
First Landing State Park,https://www.dcr.virginia.gov/state-parks/first-landing,50,29,13 sites up to 20'; 6 sites up to 30'; 10 sites up to 50'
Grayson Highlands State Park,https://www.dcr.virginia.gov/state-parks/grayson-highlands,60,42,36 sites up to 40'; 4 sites up to 50'; 2 sites up to 60'
Holliday Lake State Park,https://www.dcr.virginia.gov/state-parks/holliday-lake,40,35,29 sites up to 30'; 6 sites up to 40'
Hungry Mother State Park,https://www.dcr.virginia.gov/state-parks/hungry-mother,60,39,24 sites up to 35'; 6 sites up to 40'; 4 sites up to 50'; 5 sites up to 60'
James River State Park,https://www.dcr.virginia.gov/state-parks/james-river,40,39,30 sites up to 40’; 9 sites in the equestrian campground up to 40'
Kiptopeke State Park,https://www.dcr.virginia.gov/state-parks/kiptopeke,40,27,27 sites up to 40'
Lake Anna State Park,https://www.dcr.virginia.gov/state-parks/lake-anna,60,22,22 sites up to 60’
Machicomoco State Park,https://www.dcr.virginia.gov/state-parks/machicomoco,60,14,14 sites up to 60'
Natural Tunnel State Park,https://www.dcr.virginia.gov/state-parks/natural-tunnel,50,34,16 sites up to 38'; 18 sites up to 50'
Occoneechee State Park,https://www.dcr.virginia.gov/state-parks/occoneechee,65,57,13 sites up to 35'; 33 sites up to 30'; 11 sites up to 65' in the equestrian campground
Pocahontas State Park,https://www.dcr.virginia.gov/state-parks/pocahontas,65,48,14 sites up to 25'; 22 sites up to 40'; 12 sites up to 65'
Powhatan State Park,https://www.dcr.virginia.gov/state-parks/powhatan,60,29,29 sites up to 60'
Smith Mountain Lake State Park,https://www.dcr.virginia.gov/state-parks/smith-mountain-lake,50,24,19 Backin sites up to 50'; 5 Pull thru sites up to 50'
Staunton River State Park,https://www.dcr.virginia.gov/state-parks/staunton-river,55,47,20 sites up to 20'; 10 sites up to 30'; 4 sites up to 45'; 13 sites in the equestrian campground up to 55'
Twin Lakes State Park,https://www.dcr.virginia.gov/state-parks/twin-lakes,36,33,11 sites for up to 20'; 11 sites for up to 25'; 7 sites up to 30'; 4 sites up to 36'
Westmoreland State Park,https://www.dcr.virginia.gov/state-parks/westmoreland,40,116,116 sites up to 40'
